Variable,Overall (n=312)
"age, median (IQR)",72.72 (18.2)
sex.female,149 (47.8)
"LOSbeforeCx, median (IQR)",21 (37)
"device_ct, median (IQR)",2 (2)
any_device,274 (87.8)
trach,219 (70.2)
central_line,180 (57.7)
foley,174 (55.8)
gastro,117 (37.5)
"comorb_ct, median (IQR)",2 (3)
multimorbid,201 (64.4)
AKI,152 (48.7)
CKD,107 (34.3)
VDRF,96 (30.8)
underweight,82 (26.3)
CHF,65 (20.8)
decub,65 (20.8)
lung_dz,61 (19.6)
brain_injury,59 (18.9)
malignancy,39 (12.5)
obese,17 (5.4)
any_antibiotic_1d,227 (72.8)
vanco_1d,138 (44.2)
carbapenem_1d,99 (31.7)
third_plus_ceph_1d,79 (25.3)
AG_1d,63 (20.2)
amikacin_1d,40 (12.8)
tobra_1d,21 (6.7)
gent_1d,11 (3.5)
flagyl_1d,60 (19.2)
FQ_1d,58 (18.6)
linezolid_1d,46 (14.7)
tigecycline_1d,42 (13.5)
zosyn_1d,42 (13.5)
poly_colistin_1d,37 (11.9)
dapto_1d,12 (3.8)
bactrim_1d,11 (3.5)
aztreonam_1d,10 (3.2)
