Phenotype,Model,No. Parameters,Rate 1,Rate 2,Log Likelihood,Corrected AIC,Best model
TMP-SMX,ER,1,12301.25,NA,-186.86,-186.86,FALSE
TMP-SMX,ARD,2,14266.6,9772.79,-185.73,-185.73,TRUE
Gentamicin,ER,1,10271.29,NA,-162.08,-162.08,TRUE
Gentamicin,ARD,2,10791.82,9820.55,-162.01,-162.01,FALSE
AMK,ER,1,23413.38,NA,-226.98,-226.98,FALSE
AMK,ARD,2,24663.74,42368.73,-222.47,-222.47,TRUE
Colistin,ER,1,8707.65,NA,-159.26,-159.26,TRUE
Colistin,ARD,2,7875.24,11609.37,-158.50,-158.50,FALSE
BL/BLI,ER,1,7843.71,NA,-166.53,-166.53,FALSE
BL/BLI,ARD,2,12924.48,76998.04,-145.38,-145.38,TRUE
