Phenotype,Clade,Resistant isolates,Resistance frequency,Phylogenetic events,Singletons,Singleton isolates,Clusters,Cluster isolates,"Cluster size, median (range)",Phylogenetic frequency,Clustering frequency
TMP-SMX,Clade I,40,29.85%,19,14,18,5,22,4 (2-8),16.81%,26.32%
TMP-SMX,Clade II,167,66.27%,18,14,14,4,153,2.5 (2-146),9.33%,22.22%
Gentamicin,Clade I,36,26.87%,18,13,17,5,19,3 (2-7),11.84%,27.78%
Gentamicin,Clade II,163,64.68%,9,6,6,3,157,8 (2-147),6.29%,33.33%
Amikacin,Clade I,79,58.96%,21,13,14,8,65,7 (2-25),7.34%,38.10%
Amikacin,Clade II,53,21.03%,26,21,24,5,29,4 (2-15),8.58%,19.23%
Colistin,Clade I,19,14.18%,14,13,13,1,6,6 (6-6),8.92%,7.14%
Colistin,Clade II,110,43.65%,14,7,7,7,103,4 (2-71),5.83%,50.00%
BL/BLI,Clade I,37,27.61%,21,16,17,5,20,2 (2-10),15.11%,23.81%
BL/BLI,Clade II,19,7.54%,17,16,17,1,2,2 (2-2),6.80%,5.88%
