Phenotype,Model,Rate 1,Rate 2,Single-rate Log Likelihood,Single-rate AIC,Single-rate AICc,Category I Rate 1,Category I Rate 2,Category II Rate 1,Category II Rate 2,Multi-rate Log Likelihood,Multi-rate AIC,Multi-rate AICc
TMP-SMX,ER,12299.91,NA,-186.86,375.71,375.72,3856157944966.71,NA,0,NA,-162.37,332.74,332.84
TMP-SMX,ARD,14263.97,9770.09,-185.73,375.46,375.49,1346873729169209.2,1662986587069577.2,3244.94,0,-160.25,332.5,332.73
Gentamicin,ER,10270.94,NA,-162.08,326.16,326.17,3004613210895.68,NA,0,NA,-157.22,322.45,322.55
Gentamicin,ARD,10793.2,9822.41,-162.01,328.02,328.05,1126797454362.6,3590801280261.05,0.21,4543.1,-156.66,325.33,325.55
Amikacin,ER,23429.25,NA,-226.98,455.95,455.96,57631796660768.74,NA,3173.07,NA,-202.38,412.75,412.86
Amikacin,ARD,24661.17,42364.06,-222.47,448.94,448.97,484957.6,748023.01,4939.83,50996.96,-197.35,406.7,406.92
Colistin,ER,8707.29,NA,-159.26,320.52,320.53,5914758568347194,NA,0.4,NA,-152.18,312.36,312.47
Colistin,ARD,7875.98,11608.59,-158.5,320.99,321.02,1714730.42,131225.81,43771.24,296.15,-147.27,306.54,306.76
BL/BLI,ER,7843.07,NA,-166.53,335.05,335.06,21917129653770260,NA,0.18,NA,-134.84,277.68,277.79
BL/BLI,ARD,12925.44,76994.07,-145.38,294.75,294.79,1336087.36,460032.3,0,1912.91,-129.65,271.3,271.53
