drug,present,var1,singleton,var2,var3,cluster,var6,var5
TMP_SMX,Present: 170,,Singleton: 28,,,Cluster: 142,,
third_plus_ceph_1d,0.40 (0.22-0.72),0.0022,bactrim_1d,119.13 (5.95-5891.04),0.0041,AKI,0.41 (0.23-0.70),0.0014
bactrim_1d,24.97 (4.02-504.50),0.0044,sex.female,0.35 (0.13-0.86),0.0284,third_plus_ceph_1d,0.40 (0.22-0.73),0.0031
AKI,0.49 (0.29-0.81),0.0060,tigecycline_1d,3.66 (1.10-11.75),0.0292,bactrim_1d,18.93 (3.13-368.12),0.0077
gastro,1.86 (1.11-3.18),0.0203,zosyn_1d,0.09 (0.00-0.67),0.0709,FQ_1d,0.42 (0.20-0.82),0.0132
decub,2.08 (1.12-3.96),0.0227,poly_colistin_1d,0.10 (0.00-0.80),0.0892,decub,2.10 (1.11-4.06),0.0247
tigecycline_1d,2.34 (1.12-5.11),0.0278,NA,NA,NA,gastro,1.89 (1.09-3.33),0.0256
gent_1d,0.17 (0.02-0.76),0.0346,NA,NA,NA,gent_1d,0.09 (0.00-0.54),0.0286
amikacin_1d,0.46 (0.21-0.98),0.0465,NA,NA,NA,trach,1.67 (0.94-3.01),0.0831
FQ_1d,0.53 (0.28-1.01),0.0541,NA,NA,NA,NA,NA,NA
malignancy,0.52 (0.24-1.08),0.0803,NA,NA,NA,NA,NA,NA
gentamicin,Present: 171,,Singleton: 19,,,Cluster: 152,,
decub,2.23 (1.22-4.20),0.0105,CHF,3.61 (1.21-10.75),0.0199,decub,2.57 (1.37-4.96),0.0038
third_plus_ceph_1d,0.49 (0.28-0.84),0.0108,third_plus_ceph_1d,0.13 (0.01-0.67),0.0513,CKD,0.47 (0.27-0.82),0.0082
CKD,0.52 (0.31-0.88),0.0152,carbapenem_1d,0.27 (0.06-0.95),0.0626,bactrim_1d,10.85 (1.96-203.63),0.0259
bactrim_1d,12.95 (2.22-249.77),0.0193,NA,NA,NA,third_plus_ceph_1d,0.56 (0.32-0.98),0.0438
malignancy,0.48 (0.22-1.00),0.0525,NA,NA,NA,AKI,0.60 (0.36-1.00),0.0501
AKI,0.65 (0.39-1.06),0.0858,NA,NA,NA,gent_1d,0.23 (0.03-1.01),0.0773
AMK,Present: 119,,Singleton: 33,,,Cluster: 86,,
tobra_1d,2.82 (1.14-7.40),0.0279,tobra_1d,3.79 (1.03-12.65),0.0334,third_plus_ceph_1d,1.88 (1.06-3.33),0.0297
gent_1d,4.44 (1.24-20.80),0.0318,gent_1d,5.61 (0.94-33.04),0.0474,gent_1d,4.61 (1.08-23.30),0.0424
malignancy,1.93 (0.96-3.88),0.0647,malignancy,2.55 (0.89-6.69),0.0649,lung_dz,1.80 (0.96-3.35),0.0618
NA,NA,NA,NA,NA,NA,tobra_1d,2.52 (0.88-7.24),0.0806
CST,Present: 111,,Singleton: 20,,,Cluster: 91,,
poly_colistin_1d,3.85 (1.85-8.28),4e-04,foley,0.15 (0.04-0.49),0.0039,poly_colistin_1d,3.19 (1.45-7.11),0.0039
VDRF,0.54 (0.30-0.95),0.0353,poly_colistin_1d,7.87 (1.92-34.78),0.0042,underweight,0.47 (0.24-0.87),0.0208
underweight,0.53 (0.29-0.95),0.0361,lung_dz,4.60 (1.54-14.26),0.0064,LOSbeforeCx,0.99 (0.98-1.00),0.0667
NA,NA,NA,tigecycline_1d,3.95 (1.11-13.41),0.0277,NA,NA,NA
blbli,Present: 50,,Singleton: 31,,,Cluster: 19,,
age,1.04 (1.01-1.06),0.0036,age,1.03 (1.01-1.06),0.0250,third_plus_ceph_1d,5.74 (2.03-17.14),0.0011
third_plus_ceph_1d,2.21 (1.13-4.27),0.0186,carbapenem_1d,2.41 (1.08-5.37),0.0299,lung_dz,4.16 (1.38-12.54),0.0102
carbapenem_1d,1.94 (1.02-3.69),0.0424,tigecycline_1d,2.32 (0.90-5.60),0.0683,age,1.04 (1.00-1.09),0.0383
underweight,0.42 (0.16-0.95),0.0498,linezolid_1d,0.17 (0.01-0.87),0.0894,foley,3.10 (1.07-10.49),0.0478
NA,NA,NA,underweight,0.39 (0.11-1.06),0.0930,underweight,0.29 (0.06-1.00),0.0744
